https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=314&discid=384 - מת לבכות 2,דני סנדרסון
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=277&discid=1065 - העולם שאני מצייר,דוד ד'אור
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=3660&discid=1196 - ארלוזרוב 38,דיקלה
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=285&discid=367 - דודה,דודה
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=1333&discid=1363 - הביתה, הלוך חזור,הפרויקט של עידן רייכל
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=373&discid=489 - להיות אדם,זוהר ארגוב
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=373&discid=1137 - ים של דמעות,זוהר ארגוב
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=373&discid=486 - כך עוברים חיי,זוהר ארגוב
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=399&discid=1426 - איך שבאת,חיים משה
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=8985&discid=1449 - נוסע רחוק,חן אהרוני
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=3369&discid=1433 - קסם נעוריי,חיים ישראל
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=4040&discid=1492 - משוררים בדואט,חני דינור
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=4040&discid=1444 - עד מתי...,חני דינור
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=429&discid=428 - החיים שלך בלאפה,טיפקס
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=429&discid=427 - האחרון בעשירון התחתון,טיפקס
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=429&discid=429 - שביל קליפות הגרעינים,טיפקס
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=6196&discid=754 - backcaTALog,טל וייס
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=462&discid=212 - עיר קטנה,יהודית רביץ
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=462&discid=213 - אוסף להיטים,יהודית רביץ
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=462&discid=214 - געגוע,יהודית רביץ
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=459&discid=1381 - כל דבר מזכיר לי,יהודה פוליקר
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=459&discid=1109 - אהבה על תנאי,יהודה פוליקר
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=459&discid=188 - איך קוראים לאהבה שלי,יהודה פוליקר
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=1920&discid=19 - על מי אני עובד,יוני בלוך
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=1920&discid=18 - הרגלים רעים,יוני בלוך
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=1920&discid=17 - אולי זה אני,יוני בלוך
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=559&discid=1406 - את,ישי לוי
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=559&discid=1320 - האחת שלי,ישי לוי
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=465&discid=909 - לך ירושלים,יהורם גאון
https://shironet.mako.co.il/artist?type=disc&lang=1&prfid=465&discid=910 - כל העיר מרכלת עלינו,יהורם גאון
